,tex_names,errors,results,results_mm_deg,errors_mm_deg,identification_accuracy
0,$\theta_{0}$ [$\degree$],0.0,0.0,0.0,0.0,0.0
1,$d_{0}$ [mm],0.0,0.0,0.0,0.0,0.0
2,$r_{0}$ [mm],0.0,0.0,0.0,0.0,0.0
3,$\alpha_{0}$ [$\degree$],0.0,0.0,0.0,0.0,0.0
4,$\theta_{1}$ [$\degree$],-0.00065,-0.0006503769966623386,-0.03726385700114603,-0.037242256683503505,-2.1600317642526956e-05
5,$d_{1}$ [mm],-0.00065,-0.0006502200321041467,-0.6502200321041467,-0.65,-0.0002200321041466724
6,$r_{1}$ [mm],-0.00065,-0.0006499722899544709,-0.6499722899544709,-0.65,2.771004552915013e-05
7,$\alpha_{1}$ [$\degree$],-0.0006500000000000394,-0.000650964732660686,-0.03729753179331924,-0.037242256683505774,-5.527510981346434e-05
8,$\theta_{2}$ [$\degree$],-0.0076,-0.007600019929975502,-0.4354490662029078,-0.4354479242994257,-1.1419034821047447e-06
9,$d_{2}$ [mm],-0.0076,-0.007600505120682145,-7.600505120682145,-7.6,-0.0005051206821455878
10,$r_{2}$ [mm],-0.007599999999999996,-0.007600204390565191,-7.600204390565191,-7.599999999999996,-0.00020439056519450105
11,$\alpha_{2}$ [$\degree$],-0.007600000000000051,-0.007598822173206177,-0.4353804397951421,-0.4354479242994286,6.748450428645247e-05
12,$\theta_{3}$ [$\degree$],0.00145,0.0014493486356207648,0.08304155986411403,0.08307888029396936,-3.7320429855325354e-05
13,$d_{3}$ [mm],0.00145,0.0014502776574572599,1.4502776574572598,1.45,0.0002776574572598278
14,$r_{3}$ [mm],0.00145,0.0014499258723547754,1.4499258723547754,1.45,-7.412764522451987e-05
15,$\alpha_{3}$ [$\degree$],0.0014499999999999513,0.0014493334643033151,0.08304069061165452,0.08307888029396658,-3.818968231206199e-05
16,$\theta_{4}$ [$\degree$],-0.0019,-0.0019008177516256276,-0.10890883479169483,-0.10886198107485642,-4.6853716838407555e-05
17,$d_{4}$ [mm],-0.0019,-0.001899792642390926,-1.899792642390926,-1.9,0.00020735760907397704
18,$r_{4}$ [mm],-0.0019000000000000128,-0.0018996511990689302,-1.8996511990689302,-1.9000000000000128,0.00034880093108258237
19,$\alpha_{4}$ [$\degree$],-0.0019000000000000128,-0.00189915576322508,-0.10881360987074375,-0.10886198107485714,4.8371204113398236e-05
20,$\theta_{5}$ [$\degree$],0.0032,0.0031995926515345514,0.1833231550940021,0.18334649444186343,-2.333934786133418e-05
21,$d_{5}$ [mm],0.0032,0.003200153891936152,3.200153891936152,3.2,0.0001538919361516733
22,$r_{5}$ [mm],0.0032,0.003200183794234772,3.2001837942347717,3.2,0.00018379423477155044
23,$\alpha_{5}$ [$\degree$],0.0032000000000000917,0.003199300102234348,0.18330639325380094,0.1833464944418687,-4.010118806777041e-05
24,$\theta_{6}$ [$\degree$],0.0037,0.0037005566268568445,0.2120262765680654,0.2119943841984046,3.189236966080755e-05
25,$d_{6}$ [mm],0.0037,0.0036992935393803726,3.6992935393803728,3.7,-0.0007064606196274248
26,$r_{6}$ [mm],0.003699999999999981,0.003699961272156882,3.699961272156882,3.699999999999981,-3.872784309910671e-05
27,$\alpha_{6}$ [$\degree$],0.0037000000000000366,0.003700770035653278,0.21203850399141203,0.2119943841984067,4.4119793005337193e-05
28,$\theta_{7}$ [$\degree$],-0.0036,-0.003599917079418151,-0.20626005524772165,-0.20626480624709634,4.750999374691922e-06
29,$d_{7}$ [mm],-0.003600000000000006,-0.0035992825807053402,-3.5992825807053404,-3.600000000000006,0.0007174192946655111
30,$r_{7}$ [mm],-0.0036,-0.0036004580507226595,-3.6004580507226596,-3.6,-0.00045805072265947544
31,$\alpha_{7}$ [$\degree$],-0.0036000000000000476,-0.003600092784157294,-0.20627012238771497,-0.2062648062470991,-5.3161406158852564e-06
